ptp,condition,hidden_pa_img_type,fminsearch_two_param_1,fminsearch_two_param_2,fminsearch_two_param_fval,fminsearch_two_param_exitflag,fminsearch_two_param_message,fminsearch_three_param_1,fminsearch_three_param_2,fminsearch_three_param_3,fminsearch_three_param_fval,fminsearch_three_param_exitflag,fminsearch_three_param_message,warnMsg,warnId,sse_two_param,intercept_two_param,learning_rate_two_param,logLik_two_param,AIC_two_param,BIC_two_param,sse_three_param,intercept_three_param,learning_rate_three_param,asymptote_three_param,logLik_three_param,AIC_three_param,BIC_three_param
sub_001,schema_2_2,all_pa,156.746188152916,0.158427169421673,3956.04192156311,1,,156.74905572375,0.158436128236584,156.749055721967,3956.04194832922,1,,"Iteration limit exceeded.  Returning results from final iteration.",stats:nlinfit:IterationLimitExceeded,3956.04192156096,156.746191689596,0.158427221662092,-36.1657392574909,76.3314785149818,76.4903615983415,3956.04194832923,156.74905572375,0.158436128236584,1.78278014573152e-09,-36.1657392845566,78.3314785691132,78.5698031941528
sub_001,schema_2_2,far,146.213096907229,0.299992276073209,3023.13367081838,1,,146.272433350038,0.30156185343525,145.931014426704,3023.102366361,1,,"Iteration limit exceeded.  Returning results from final iteration.",stats:nlinfit:IterationLimitExceeded,3023.13367081602,146.213135048733,0.2999923942133,-35.0899389458636,74.1798778917271,74.3387609750868,3023.102366361,146.272433350038,0.30156185343525,0.34141892333389,-35.0898975257737,76.1797950515474,76.4181196765869
sub_001,schema_2_2,near,90.295096455397,-0.0674459606955727,74118.4724839962,1,,7.408113932132,0.740675054214115,-141.297167407878,61125.7993431247,1,,"Iteration limit exceeded.  Returning results from final iteration.",stats:nlinfit:IterationLimitExceeded,74118.472483995,90.2951288662033,-0.0674458487723731,-47.8874223849111,99.7748447698221,99.9337278531818,61125.7993431247,7.408113932132,0.740675054214115,148.70528134001,-47.1164993144372,100.232998628874,100.471323253914
sub_001,schema_2_2,near_far_combined,91.4495533800847,0.0272837979078223,7099.44908213179,1,,91.4472195710139,0.0272855728786038,91.4472195249442,7099.44913823165,1,,"Iteration limit exceeded.  Returning results from final iteration.",stats:nlinfit:IterationLimitExceeded,7099.44908212155,91.4496174177462,0.0272839441685668,-38.5048319627238,81.0096639254476,81.1685470088073,7099.44913823165,91.4472195710139,0.0272855728786038,4.60697151538625e-08,-38.5048319943376,83.0096639886752,83.2479886137147
sub_001,schema_4_2,all_pa,175.155997682859,0.0299000782579238,8157.60965649286,1,,174.894989125655,0.0294720645201553,174.894988706574,8157.82732994094,1,,"Iteration limit exceeded.  Returning results from final iteration.",stats:nlinfit:IterationLimitExceeded,8157.60965648783,175.156037085885,0.029900134765441,-39.0605679820804,82.1211359641608,82.2800190475205,8157.82732994094,174.894989125655,0.0294720645201553,4.19080919300541e-07,-39.0606747145955,84.1213494291911,84.3596740542306
sub_001,schema_4_2,far,148.927961345746,0.0210041804041161,10381.3372148084,1,,148.8266828069,0.0207189552339606,148.826681902413,10381.4217095794,1,,"Iteration limit exceeded.  Returning results from final iteration.",stats:nlinfit:IterationLimitExceeded,10381.3372148016,148.928010131031,0.0210042580561048,-40.0248019969632,84.0496039939265,84.2084870772862,10381.4217095794,148.8266828069,0.0207189552339606,9.04487251318642e-07,-40.0248345532446,86.0496691064892,86.2879937315288
sub_001,schema_4_2,near,140.252147785975,0.0897864762045147,7311.02549018619,1,,140.252204916269,0.0897865985150471,140.252204915323,7311.02549019607,1,,"Iteration limit exceeded.  Returning results from final iteration.",stats:nlinfit:IterationLimitExceeded,7311.0254901817,140.252163374195,0.0897864263500497,-38.622297414275,81.24459482855,81.4034779119097,7311.02549019607,140.252204916269,0.0897865985150471,9.46613454289036e-10,-38.6222974142829,83.2445948285657,83.4829194536052
sub_001,schema_4_2,near_far_combined,144.063019168803,0.0505369579122299,5542.275786636,1,,144.081858549507,0.0505338836839209,144.081858544952,5542.27814643114,1,,"Iteration limit exceeded.  Returning results from final iteration.",stats:nlinfit:IterationLimitExceeded,5542.27578662526,144.062993354136,0.0505369907834281,-37.5143840477144,79.0287680954288,79.1876511787884,5542.27814643113,144.081858549507,0.0505338836839209,4.55554527434288e-09,-37.5143857508453,81.0287715016907,81.2670961267302
sub_001,schema_4_4,all_pa,121.395251763708,0.0858125237375887,3998.85623435424,1,,144.891806869982,1.7090941114215,62.7003333747335,3077.09243699311,1,,"Iteration limit exceeded.  Returning results from final iteration.",stats:nlinfit:IterationLimitExceeded,3998.8562343523,121.395284621399,0.0858126093354558,-36.2087967301223,76.4175934602446,76.5764765436042,3077.09243699311,144.891806869982,1.7090941114215,82.1914734952484,-35.1607037634882,76.3214075269764,76.5597321520159
sub_001,schema_4_4,far,145.317878483733,0.109546683245956,7460.50533975527,1,,154.99098081448,0.376010539159474,84.5117330597083,6838.64768194644,1,,"Iteration limit exceeded.  Returning results from final iteration.",stats:nlinfit:IterationLimitExceeded,7460.50533975363,145.317861998275,0.10954669679679,-38.7032558221857,81.4065116443714,81.5653947277311,6838.64768194644,154.99098081448,0.376010539159474,70.4792477547713,-38.3551232339267,82.7102464678533,82.9485710928928
